iso3,year,control_of_corruption,gdp_per_capita_log,government_effectiveness,life_expectancy,median_age,urban_share,locc,government_effectiveness_lag1,control_of_corruption_lag1,gdp_per_capita_log_lag1,urban_share_lag1,median_age_lag1,life_expectancy_lag1
SSD,2023,0.098530123,6.468864289239348,0.084465115,57.6315,17.97,21.0737755279692,9.4,0.0823546799999999,0.101828622,6.541725961094565,20.7752121046616,17.59,57.21
SSD,2024,0.06061704,6.396002617384132,0.0909161929999999,57.7526,18.285,21.3768190444906,9.4,0.084465115,0.098530123,6.468864289239348,21.0737755279692,17.97,57.6315
SSD,2025,0.06061704,6.323140945528915,0.0909161929999999,58.2,18.6,24.718,9.3,0.0909161929999999,0.06061704,6.396002617384132,21.3768190444906,18.285,57.7526
STP,2016,0.454882966,8.107582286556324,0.39741267,66.783,17.947,67.5218887329102,5.7,0.351453838,0.420299639,8.06196279723491,70.2,18.8,68.25
STP,2017,0.498006138,8.14215352968574,0.4072922349999999,67.313,18.039,67.6520004272461,5.6,0.39741267,0.454882966,8.107582286556324,67.5218887329102,17.947,66.783
STP,2018,0.510235871,8.279198102099224,0.439278328,67.8665,18.164,67.7828826904297,5.2,0.4072922349999999,0.498006138,8.14215352968574,67.6520004272461,18.039,67.313
STP,2019,0.51416874,8.44580136570207,0.424090624,68.3215,18.32,67.9129943847656,5.1,0.439278328,0.510235871,8.279198102099224,67.7828826904297,18.164,67.8665
STP,2020,0.4966143299999999,8.545690382359542,0.418378146,68.8,19.2,74.4,5.4,0.424090624,0.51416874,8.44580136570207,67.9129943847656,18.32,68.3215
STP,2021,0.5113492159999999,8.653940954080293,0.398252788,68.32,18.677,68.1738967895508,5.3,0.418378146,0.4966143299999999,8.545690382359542,74.4,19.2,68.8
STP,2022,0.507868765,8.705112579777808,0.386919666,69.52000000000001,18.869,68.3720919798341,5.3,0.398252788,0.5113492159999999,8.653940954080293,68.1738967895508,18.677,68.32
STP,2023,0.5032136779999999,8.724204346295096,0.381821735,69.98349999999999,19.052,68.6043921103568,5.3,0.386919666,0.507868765,8.705112579777808,68.3720919798341,18.869,69.52000000000001
STP,2024,0.5158259749999999,8.739032876209238,0.373665708,70.15915,19.625999999999998,68.8710170184884,5.3,0.381821735,0.5032136779999999,8.724204346295096,68.6043921103568,19.052,69.98349999999999
STP,2025,0.5158259749999999,8.30983696653235,0.373665708,69.8,20.2,79.056,5.4,0.373665708,0.5158259749999999,8.739032876209238,68.8710170184884,19.625999999999998,70.15915
SUR,2016,0.442369244,9.580199508744297,0.506703112,71.09299999999999,26.696,66.1426466980469,5.0,0.433869903,0.375598357,9.713753045904642,66.1,27.7,72.0
SUR,2017,0.43899324,9.773816142848256,0.4886759,71.345,26.893,66.1046467051207,4.9,0.506703112,0.442369244,9.580199508744297,66.1426466980469,26.696,71.09299999999999
SUR,2018,0.420124466,9.79006567087853,0.488805183,71.5655,27.097,66.0693060442846,4.6,0.4886759,0.43899324,9.773816142848256,66.1046467051207,26.893,71.345
SUR,2019,0.421488199,9.89199918262706,0.486264355,71.85900000000001,27.298,66.0370492311305,4.8,0.488805183,0.420124466,9.79006567087853,66.0693060442846,27.097,71.5655
SUR,2020,0.417293647,9.737839865116598,0.485825543,72.2,28.7,66.1,5.1,0.486264355,0.421488199,9.89199918262706,66.0370492311305,27.298,71.85900000000001
SUR,2021,0.4154762,9.823265891334088,0.455274846,69.09049999999999,27.678,65.9853973388672,5.0,0.485825543,0.417293647,9.737839865116598,66.1,28.7,72.2
SUR,2022,0.41601345,9.907421631618837,0.4412397439999999,73.2815,27.865,65.8985443115234,5.1,0.455274846,0.4154762,9.823265891334088,65.9853973388672,27.678,69.09049999999999
SUR,2023,0.411905006,9.957511521208426,0.44136018,73.6465,28.1,65.7562408447266,4.9,0.4412397439999999,0.41601345,9.907421631618837,65.8985443115234,27.865,73.2815
SUR,2024,0.402263093,9.989689404402046,0.425072216,73.78675,28.85,65.7641857200885,5.1,0.44136018,0.411905006,9.957511521208426,65.7562408447266,28.1,73.6465
SUR,2025,0.402263093,9.652033506427594,0.425072216,74.3,29.6,70.574,5.1,0.425072216,0.402263093,9.989689404402046,65.7641857200885,28.85,73.78675
SVK,2016,0.536057834,10.304542293892622,0.6553942549999999,77.13999999999999,38.604,53.7399327086517,2.6,0.674682838,0.471702509,10.313873545448056,53.9,39.0,77.19999999999999
SVK,2017,0.5244190129999999,10.317112035126934,0.624352091,77.08,39.005,53.6126018237016,2.6,0.6553942549999999,0.536057834,10.304542293892622,53.7399327086517,38.604,77.13999999999999
SVK,2018,0.531998071,10.35805448193133,0.6163891229999999,77.02,39.402,53.4881496935559,2.6,0.624352091,0.5244190129999999,10.317112035126934,53.6126018237016,39.005,77.08
SVK,2019,0.5291462819999999,10.433694416061336,0.598649255,76.96000000000001,39.805,53.3666558664583,2.6,0.6163891229999999,0.531998071,10.35805448193133,53.4881496935559,39.402,77.02
SVK,2020,0.5635083919999999,10.47242954212868,0.6490447519999999,76.9,41.0,53.8,2.6,0.598649255,0.5291462819999999,10.433694416061336,53.3666558664583,39.805,76.96000000000001
SVK,2021,0.550911781,10.554407939203363,0.656644156,77.28958750000001,40.545,53.1901479870605,2.7,0.6490447519999999,0.5635083919999999,10.47242954212868,53.8,41.0,76.9
SVK,2022,0.554957092,10.634945171002196,0.6681813819999999,77.679175,40.904,53.1902831072528,2.7,0.656644156,0.550911781,10.554407939203363,53.1901479870605,40.545,77.28958750000001
SVK,2023,0.556401022,10.735830008213036,0.627084734,78.06876249999999,41.302,53.190805019646,2.6,0.6681813819999999,0.554957092,10.634945171002196,53.1902831072528,40.904,77.679175
SVK,2024,0.500979964,10.781709920802449,0.64126485,78.45835,42.001000000000005,53.1919702985684,2.5,0.627084734,0.556401022,10.735830008213036,53.190805019646,41.302,78.06876249999999
SVK,2025,0.500979964,10.488942482576318,0.64126485,79.30000000000001,42.7,59.347,4.2,0.64126485,0.500979964,10.781709920802449,53.1919702985684,42.001000000000005,78.45835
SVN,2016,0.632807451,10.42154230934695,0.7467345999999999,81.25,42.256,53.647274017334,1.9,0.702088432,0.608869714,10.352529397723174,53.8,42.6,81.2
SVN,2017,0.6393086069999999,10.496262821822198,0.754494767,81.1,42.568,55.2451133728027,1.7,0.7467345999999999,0.632807451,10.42154230934695,53.647274017334,42.256,81.25
SVN,2018,0.6444442479999999,10.56153085228206,0.766205375,81.45,42.807,55.1913430955675,1.7,0.754494767,0.6393086069999999,10.496262821822198,55.2451133728027,42.568,81.1
SVN,2019,0.650294052,10.654272560926232,0.7607589889999999,81.6,42.973,55.4523277282715,1.7,0.766205375,0.6444442479999999,10.56153085228206,55.1913430955675,42.807,81.45
SVN,2020,0.635626752,10.63986800989705,0.7798721689999999,81.65,43.8,55.1,1.7,0.7607589889999999,0.650294052,10.654272560926232,55.4523277282715,42.973,81.6
SVN,2021,0.619967416,10.734526607096772,0.7747504,80.75,43.14,55.3046289429588,1.6,0.7798721689999999,0.635626752,10.63986800989705,55.1,43.8,81.65
SVN,2022,0.6299711259999999,10.865652004202182,0.75802794,81.35,43.497,55.3377817873563,1.6,0.7747504,0.619967416,10.734526607096772,55.3046289429588,43.14,80.75
SVN,2023,0.6164943119999999,10.934250912659175,0.7394339149999999,82.05,43.894,55.5378927789875,1.6,0.75802794,0.6299711259999999,10.865652004202182,55.3377817873563,43.497,81.35
SVN,2024,0.615046962,10.954070885933591,0.7252153199999999,81.7897,44.697,55.7577708405917,1.6,0.7394339149999999,0.6164943119999999,10.934250912659175,55.5378927789875,43.894,82.05
SVN,2025,0.615046962,10.70634511621706,0.7252153199999999,83.1,45.5,60.635,2.6,0.7252153199999999,0.615046962,10.954070885933591,55.7577708405917,44.697,81.7897
SWE,2016,0.904804812,10.825556930118124,0.865662432,82.35,39.868,87.0,1.4,0.873706926,0.947244641,10.794913083844882,86.6,40.8,82.55
SWE,2017,0.905504542,10.848834434353346,0.878289379,82.44999999999999,39.716,87.237373786911,1.4,0.865662432,0.904804812,10.825556930118124,87.0,39.868,82.35
SWE,2018,0.906816537,10.880354691929709,0.88642499,82.6,39.594,87.4737430925296,1.4,0.878289379,0.905504542,10.848834434353346,87.237373786911,39.716,82.44999999999999
SWE,2019,0.909533315,10.95162106251212,0.881363537,83.15,39.529,87.7088420242759,1.5,0.88642499,0.906816537,10.880354691929709,87.4737430925296,39.594,82.6
SWE,2020,0.910446593,10.959353526220966,0.8985474619999999,83.5,40.5,88.0,1.5,0.881363537,0.909533315,10.95162106251212,87.7088420242759,39.529,83.15
SWE,2021,0.901578919,11.046622190818852,0.895832785,83.1,39.643,88.1741651958315,1.4,0.8985474619999999,0.910446593,10.959353526220966,88.0,40.5,83.5
SWE,2022,0.8885462040000001,11.113576757575784,0.885743205,83.1,39.728,88.4038576504809,1.4,0.895832785,0.901578919,11.046622190818852,88.1741651958315,39.643,83.1
SWE,2023,0.8794168669999999,11.14513652121276,0.842596283,83.35,39.913,88.631216160938,1.5,0.885743205,0.8885462040000001,11.113576757575784,88.4038576504809,39.728,83.1
SWE,2024,0.876821741,11.182265088556134,0.858476797,83.4365,40.656499999999994,88.8559748346228,1.5,0.842596283,0.8794168669999999,11.14513652121276,88.631216160938,39.913,83.35
SWE,2025,0.876821741,10.947232086617742,0.858476797,84.65,41.4,89.761,1.4,0.858476797,0.876821741,11.182265088556134,88.8559748346228,40.656499999999994,83.4365
SWZ,2016,0.423114505,9.045951598088878,0.465114453,57.93,21.0,23.5278881746356,5.6,0.394629494,0.341317947,9.034923331358035,23.3,20.7,58.05
SWZ,2017,0.460711455,9.057691514744416,0.457502683,57.81,21.3,23.8052004963161,5.5,0.465114453,0.423114505,9.045951598088878,23.5278881746356,21.0,57.93
SWZ,2018,0.4233998899999999,9.051960620907208,0.425740624,57.69,21.599999999999998,24.0579295404227,5.4,0.457502683,0.460711455,9.057691514744416,23.8052004963161,21.3,57.81
SWZ,2019,0.4184352889999999,9.132197415905305,0.416919027,57.57,21.9,24.3459549517751,5.3,0.425740624,0.4233998899999999,9.051960620907208,24.0579295404227,21.599999999999998,57.69
SWZ,2020,0.417535169,9.140915750185204,0.392160684,57.45,22.2,24.2,5.4,0.416919027,0.4184352889999999,9.132197415905305,24.3459549517751,21.9,57.57
SWZ,2021,0.361010623,9.209383406181647,0.372765527,59.140600000000006,22.36,25.0156180525173,5.4,0.392160684,0.417535169,9.140915750185204,24.2,22.2,57.45
SWZ,2022,0.355362263,9.271942625459609,0.390505843,60.8312,22.52,25.396682918542,5.5,0.372765527,0.361010623,9.209383406181647,25.0156180525173,22.36,59.140600000000006
SWZ,2023,0.351177346,9.33254766160967,0.373840626,62.5218,22.68,25.8081878500755,5.5,0.390505843,0.355362263,9.271942625459609,25.396682918542,22.52,60.8312
SWZ,2024,0.319619862,9.375787255571984,0.361519495,64.2124,22.84,26.2498461258639,5.3,0.373840626,0.351177346,9.33254766160967,25.8081878500755,22.68,62.5218
SWZ,2025,0.319619862,9.120470105731425,0.361519495,59.8,23.0,28.864,4.9,0.361519495,0.319619862,9.375787255571984,26.2498461258639,22.84,64.2124
SYR,2016,0.156387169,8.09103657095809,0.227390037,65.712,19.94,75.15400963398,5.8,0.180644948,0.074451303,8.09103657095809,52.2,19.6,68.6
SYR,2017,0.156291791,8.09103657095809,0.227411231,66.08449999999999,20.28,74.5395596323392,5.6,0.227390037,0.156387169,8.09103657095809,75.15400963398,19.94,65.712
SYR,2018,0.156454026,8.147835957602009,0.227527564,67.608,20.62,74.0612602381775,5.7,0.227411231,0.156291791,8.09103657095809,74.5395596323392,20.28,66.08449999999999
SYR,2019,0.143385687,8.161139516003777,0.204407322,71.043,20.96,73.8248788261986,5.7,0.227527564,0.156454026,8.147835957602009,74.0612602381775,20.62,67.608
SYR,2020,0.136998956,8.22621436217908,0.226938196,71.65,21.3,55.5,5.7,0.204407322,0.143385687,8.161139516003777,73.8248788261986,20.96,71.043
SYR,2021,0.116081699,8.432253543496897,0.216579239,72.4145,21.740000000000002,73.0125007629395,5.7,0.226938196,0.136998956,8.22621436217908,55.5,21.3,71.65
SYR,2022,0.115731905,8.470617525535518,0.199404842,72.7935,22.18,72.6124992370605,5.4,0.216579239,0.116081699,8.432253543496897,73.0125007629395,21.740000000000002,72.4145
SYR,2023,0.117885968,8.502902095162842,0.199499281,72.12049999999999,22.62,72.1673803143204,5.5,0.199404842,0.115731905,8.470617525535518,72.6124992370605,22.18,72.7935
SYR,2024,0.134112838,8.535186664790164,0.188174812,72.5632,23.06,72.0761345758254,5.6,0.199499281,0.117885968,8.502902095162842,72.1673803143204,22.62,72.12049999999999
SYR,2025,0.134112838,8.567471234417487,0.188174812,71.75,23.5,58.994,7.0,0.188174812,0.134112838,8.535186664790164,72.0761345758254,23.06,72.5632
TCD,2016,0.174332564,7.659212647728445,0.282551905,51.609,14.647,23.1119734707179,9.0,0.206968343,0.116341476,7.77380957752378,22.5,15.8,52.45
TCD,2017,0.183576246,7.648331819587921,0.299436956,51.888,14.7,23.461349471105,8.9,0.282551905,0.174332564,7.659212647728445,23.1119734707179,14.647,51.609
TCD,2018,0.182937241,7.708775824524606,0.284343341,52.462,14.768,23.8486084924975,8.9,0.299436956,0.183576246,7.648331819587921,23.461349471105,14.7,51.888
TCD,2019,0.179377342,7.762873933226155,0.267968754,53.0135,14.813,24.2731047386633,8.9,0.284343341,0.182937241,7.708775824524606,23.8486084924975,14.768,52.462
TCD,2020,0.17852829,7.689824250490389,0.274402352,53.5,16.0,23.5,8.9,0.267968754,0.179377342,7.762873933226155,24.2731047386633,14.813,53.0135
TCD,2021,0.176528325,7.797731910434286,0.27220965,53.171,14.982,25.2312246423075,9.0,0.274402352,0.17852829,7.689824250490389,23.5,16.0,53.5
TCD,2022,0.181734954,7.87250007936712,0.284854174,54.5635,15.102,25.7635558629694,8.9,0.27220965,0.176528325,7.797731910434286,25.2312246423075,14.982,53.171
TCD,2023,0.177195952,7.901140581358008,0.27707048,55.1045,15.401,26.3305395171046,8.8,0.284854174,0.181734954,7.87250007936712,25.7635558629694,15.102,54.5635
TCD,2024,0.197006119,7.916683357034304,0.299423228,55.2771,15.8505,26.9315292389497,8.7,0.27707048,0.177195952,7.901140581358008,26.3305395171046,15.401,55.1045
TCD,2025,0.197006119,7.182915417671792,0.299423228,55.150000000000006,16.3,28.256,8.7,0.299423228,0.197006119,7.916683357034304,26.9315292389497,15.8505,55.2771
TGO,2016,0.3462829629999999,7.566790269858956,0.327136809,59.659000000000006,18.226,40.1485878279739,8.1,0.262228176,0.263449365,7.538850633439305,40.1,19.1,60.05
TGO,2017,0.330660243,7.593639256877487,0.322214828,60.126,18.273,40.5809463430719,7.9,0.327136809,0.3462829629999999,7.566790269858956,40.1485878279739,18.226,59.659000000000006
TGO,2018,0.325733271,7.633885697334968,0.33052911,60.591,18.334,41.013328267781,7.8,0.322214828,0.330660243,7.593639256877487,40.5809463430719,18.273,60.126
TGO,2019,0.335507362,7.70287185181303,0.351629664,61.0455,18.409,41.445731197295,7.7,0.33052911,0.325733271,7.633885697334968,41.013328267781,18.334,60.591
TGO,2020,0.348029666,7.776562903014128,0.341733493,61.55,19.5,42.8,7.7,0.351629664,0.335507362,7.70287185181303,41.445731197295,18.409,61.0455
TGO,2021,0.346578166,7.8780836979690365,0.34287828,61.32,18.591,42.3105904515122,7.7,0.341733493,0.348029666,7.776562903014128,42.8,19.5,61.55
TGO,2022,0.350827066,7.984467390925236,0.325101273,62.28,18.7,42.7332327975627,7.7,0.34287828,0.346578166,7.8780836979690365,42.3105904515122,18.591,61.32
TGO,2023,0.359538091,8.05656413712444,0.3349698329999999,62.7295,18.818,43.2496853032436,7.5,0.325101273,0.350827066,7.984467390925236,42.7332327975627,18.7,62.28
TGO,2024,0.344270752,8.12131936656475,0.357568956,62.92345,19.509,43.8148491605996,7.5,0.3349698329999999,0.359538091,8.05656413712444,43.2496853032436,18.818,62.7295
TGO,2025,0.344270752,7.756759518547077,0.357568956,62.4,20.2,49.758,6.6,0.357568956,0.344270752,8.12131936656475,43.8148491605996,19.509,62.92345
THA,2016,0.395817176,9.721440999338084,0.531751287,76.8665,36.251,47.8801095551247,4.3,0.575475209,0.316989975,9.667206295518614,47.7,37.4,78.5
THA,2017,0.403466027,9.774138249374069,0.5438863589999999,77.0875,36.723,49.2311973571777,4.0,0.531751287,0.395817176,9.721440999338084,47.8801095551247,36.251,76.8665
THA,2018,0.403060731,9.84565825423332,0.547516616,77.2895,37.213,54.5843734741211,4.1,0.5438863589999999,0.403466027,9.774138249374069,49.2311973571777,36.723,77.0875
THA,2019,0.400524608,9.901655467327958,0.540667732,77.30600000000001,37.714,55.9266166687012,4.0,0.547516616,0.403060731,9.84565825423332,54.5843734741211,37.213,77.2895
THA,2020,0.401221848,9.860775309873794,0.536186352,79.0,39.6,51.4,3.9,0.540667732,0.400524608,9.901655467327958,55.9266166687012,37.714,77.30600000000001
THA,2021,0.3997388319999999,9.915552971920892,0.553968725,77.7005,38.711,58.5087776184082,4.0,0.536186352,0.401221848,9.860775309873794,51.4,39.6,79.0
THA,2022,0.396776827,10.009785992976576,0.557638453,75.4075,39.194,59.742374420166,3.9,0.553968725,0.3997388319999999,9.915552971920892,58.5087776184082,38.711,77.7005
THA,2023,0.389620291,10.065572902216005,0.57278445,76.511,39.658,60.9341926574707,3.9,0.557638453,0.396776827,10.009785992976576,59.742374420166,39.194,75.4075
THA,2024,0.371805433,10.115046899596225,0.5627225,76.65965,40.729,61.8689338391321,3.9,0.57278445,0.389620291,10.065572902216005,60.9341926574707,39.658,76.511
THA,2025,0.371805433,9.872351567601555,0.5627225,79.5,41.8,55.753,3.7,0.5627225,0.371805433,10.115046899596225,61.8689338391321,40.729,76.65965
TJK,2016,0.238462968,7.977232841921775,0.361671178,69.971,20.848,26.3718509674072,5.4,0.331648103,0.171255497,7.998157616293898,26.7,21.6,70.2
TJK,2017,0.232961764,8.012019282868673,0.3775110739999999,70.50999999999999,20.998,26.2731513977051,5.0,0.361671178,0.238462968,7.977232841921775,26.3718509674072,20.848,69.971
TJK,2018,0.205636684,8.029140892690403,0.379433582,70.72800000000001,21.138,26.2338752746582,5.1,0.3775110739999999,0.232961764,8.012019282868673,26.2731513977051,20.998,70.50999999999999
TJK,2019,0.221035594,8.149016252656974,0.362561403,70.956,21.276,26.1300735473633,5.1,0.379433582,0.205636684,8.029140892690403,26.2338752746582,21.138,70.72800000000001
TJK,2020,0.25916101,8.203566726365874,0.364857236,70.85,22.3,27.5,5.0,0.362561403,0.221035594,8.149016252656974,26.1300735473633,21.276,70.956
TJK,2021,0.258430877,8.290521542707324,0.352353234,69.60300000000001,21.566,26.1991525151375,5.0,0.364857236,0.25916101,8.203566726365874,27.5,22.3,70.85
TJK,2022,0.25123315,8.414977752367445,0.358259238,71.5505,21.742,26.1957126615618,5.0,0.352353234,0.258430877,8.290521542707324,26.1991525151375,21.566,69.60300000000001
TJK,2023,0.251112895,8.509883128420606,0.364005316,71.775,21.925,26.1890127571429,4.9,0.358259238,0.25123315,8.414977752367445,26.1957126615618,21.742,71.5505
TJK,2024,0.232055692,8.595261048729625,0.396559136,71.9114,22.4625,26.1788063651548,4.9,0.364005316,0.251112895,8.509883128420606,26.1890127571429,21.925,71.775
TJK,2025,0.232055692,8.378770395782032,0.396559136,72.1,23.0,32.716,4.7,0.396559136,0.232055692,8.595261048729625,26.1788063651548,22.4625,71.9114
TKM,2016,0.182109989,9.466483109157426,0.358218153,68.97900000000001,24.464,47.0227025249994,6.5,0.331195372,0.120336509,9.45052302765345,50.3,25.3,68.9
TKM,2017,0.184503652,9.493894162436314,0.340677197,69.017,24.678,47.0334857399476,6.3,0.358218153,0.182109989,9.466483109157426,47.0227025249994,24.464,68.97900000000001
TKM,2018,0.184703011,9.57279095478342,0.334162634,69.0875,24.898,47.0423948717765,6.1,0.340677197,0.184503652,9.493894162436314,47.0334857399476,24.678,69.017
TKM,2019,0.202783883,9.647157092688188,0.353619409,69.207,25.13,47.0494562466485,6.3,0.334162634,0.184703011,9.57279095478342,47.0423948717765,24.898,69.0875
TKM,2020,0.203355079,9.621849809411506,0.321555481,69.8,26.5,52.5,5.8,0.353619409,0.202783883,9.647157092688188,47.0494562466485,25.13,69.207
TKM,2021,0.203220695,9.707116151661374,0.321822681,69.1405,25.644,47.0581410301711,5.7,0.321555481,0.203355079,9.621849809411506,52.5,26.5,69.8
TKM,2022,0.203174545,9.81684581343272,0.4189442,69.6795,25.931,47.0592103414926,5.8,0.321822681,0.203220695,9.707116151661374,47.0581410301711,25.644,69.1405
TKM,2023,0.205275818,9.89489700149227,0.419067358,69.85499999999999,26.232,47.0678875054171,5.9,0.4189442,0.203174545,9.81684581343272,47.0592103414926,25.931,69.6795
TKM,2024,0.215970433,9.962373546176275,0.307465703,70.0029,26.716,47.0875253910294,5.8,0.419067358,0.205275818,9.89489700149227,47.0678875054171,26.232,69.85499999999999
