ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
BRB,2022,0.6509330779999999,0.7199658389999999,10.007543409562931,59.3538514107686,38.652,75.66,2.5
BRB,2023,0.631085653,0.7232591769999999,10.071558244372229,59.4235740235775,38.905,76.12299999999999,2.6
BRB,2024,0.630957497,0.726663418,10.119507161966148,59.5397032429174,,76.25745,2.5
BRB,2025,,,9.732490177945818,37.094,41.0,79.25,2.5
BRN,2015,0.719898236,0.562649029,11.046241542495846,76.7,,,4.58788089073188
BRN,2016,0.703112194,0.6982786539999999,10.94516819909918,74.8816070556641,,75.03999999999999,4.7
BRN,2017,0.710459331,0.7248269039999999,11.029353079463297,74.8476440654983,,75.07499999999999,4.5
BRN,2018,0.711784033,0.72467989,11.08442956863099,74.8172471714305,,75.122,4.4
BRN,2019,0.722837064,0.718039492,11.14697448780286,74.7923311783673,,75.17699999999999,4.3
BRN,2020,0.722477155,0.7181179689999999,11.15321682802856,78.3,32.1,75.9,3.5
BRN,2021,0.7226907469999999,0.7179651249999999,11.26764873611314,74.7667316936175,,74.98349999999999,3.5
BRN,2022,0.704919322,0.7179126389999999,11.312053866158177,74.7772642014221,,73.0145,3.4
BRN,2023,0.70502043,0.717732347,11.35079000163637,74.8199193881365,,75.4415,3.5
BRN,2024,0.675801007,0.718648783,11.40622362233629,74.8983133873697,,75.61179999999999,3.5
BRN,2025,,,11.03982274590658,82.011,34.3,77.69999999999999,2.6
BTN,2015,0.586911516,0.666333788,9.231496392913275,38.7,25.7,71.05000000000001,5.805027386059246
BTN,2016,0.599085054,0.7151924599999999,9.330190814031573,37.2745234641407,25.376,71.26750000000001,5.0
BTN,2017,0.607370501,0.772291116,9.365411850537916,37.8645544995016,25.88,71.5685,4.7
BTN,2018,0.618106419,0.772441309,9.390122164658829,38.4661892776975,26.461,71.869,4.6
BTN,2019,0.6076381479999999,0.774890271,9.465687844238516,39.0746823405146,27.055,72.1625,4.5
BTN,2020,0.607464143,0.750214788,9.431485768582494,42.3,28.3,72.2,4.4
BTN,2021,0.62936546,0.7457100950000001,9.50738938732735,40.3075199874379,28.23,72.60249999999999,4.5
BTN,2022,0.617391132,0.7532372339999999,9.620050495663346,40.9365143617581,28.81,72.9135,4.6
BTN,2023,0.617489169,0.753103134,9.693701393185007,41.7352457989939,29.388,73.135,4.4
BTN,2024,0.626342595,0.77655202,,42.5645249803412,,73.42065,4.0
BTN,2025,,,9.403682422889569,49.765,31.1,73.4,4.3
BWA,2015,0.605411147,0.626534769,9.557024155215675,67.2,23.1,65.4,4.846069698337137
BWA,2016,0.617655901,0.6522077070000001,9.694501011404189,65.6949296854899,21.719,64.3075,4.9
BWA,2017,0.5942174179999999,0.636246184,9.661458350182189,65.9456435684731,21.814,65.4165,4.8
BWA,2018,0.580832291,0.650852111,9.666867324495549,66.1579176461888,21.944,66.3765,4.6
BWA,2019,0.5918301979999999,0.6449975299999999,9.677841849348576,66.3271694845464,22.105,67.18,4.6
BWA,2020,0.573754551,0.624659545,9.63510225837063,70.9,24.2,64.8,4.6
BWA,2021,0.591679235,0.6206231,9.795937165567418,66.5182767068255,22.415,63.3585,4.6
BWA,2022,0.602725227,0.610252289,9.902328600182589,66.5889787170477,22.604,68.769,4.6
BWA,2023,0.618596214,0.601351054,9.952853893505251,67.0212655349864,22.882,69.18549999999999,4.6
BWA,2024,0.594464824,0.6063009789999999,9.930038535719316,67.4623537838418,,69.3169,4.5
BWA,2025,,,9.799548688648764,76.416,25.2,66.44999999999999,5.2
CAF,2015,0.141124666,0.129226818,6.644923059439672,40.3,15.5,54.0,8.563076570492752
CAF,2016,0.209741186,0.213751495,6.7166108767607735,40.3808711749566,14.375,51.021,8.7
CAF,2017,0.209503735,0.239539919,6.784242938895861,40.8151443386334,14.369,45.4635,8.7
CAF,2018,0.215152476,0.231421404,6.808838169857395,41.2824666248606,14.359,52.302,8.7
CAF,2019,0.205863718,0.235361459,6.892482424110778,41.7800430407332,14.368,32.5785,8.7
CAF,2020,0.199905214,0.225042325,6.971940663616391,42.2,15.7,54.8,8.7
CAF,2021,0.206664461,0.212114421,7.028691010744963,42.8547782897949,14.377,40.6795,8.7
CAF,2022,0.204182821,0.211886683,7.104842100278185,43.2751967457285,14.298,20.4695,8.7
CAF,2023,0.207985021,0.198884311,7.136558271143823,43.6983692134165,14.32,57.275,8.8
CAF,2024,0.206860087,0.213390083,7.141326150054981,44.1243555638904,,57.53585,8.8
CAF,2025,,,6.824259785402379,49.385,16.4,56.45,8.8
CAN,2015,0.862756242,0.865528578,10.707014684116706,81.3,40.5,82.15,2.611354131604738
CAN,2016,0.876329908,0.8713823339999999,10.746576137177192,81.3023011093703,39.733,81.99000000000001,2.4
CAN,2017,0.892743247,0.859923561,10.785546763384488,81.4018945832226,39.77,81.86500000000001,2.3
CAN,2018,0.870103408,0.8443841759999999,10.819430222080308,81.5500341646653,39.769,81.86,2.4
CAN,2019,0.873026719,0.8419865049999999,10.829708280516996,81.7363672047941,39.788,82.215,2.3
CAN,2020,0.8415737799999999,0.8109574469999999,10.79118708805833,81.6,40.9,83.1,2.3
CAN,2021,0.8406124489999999,0.805573179,10.950720888378548,82.1779279079275,40.105,81.57499999999999,2.3
CAN,2022,0.8648058069999999,0.8129372109999999,11.06576462152377,82.3500897353968,40.253,81.30000000000001,2.4
CAN,2023,0.852754831,0.807748172,11.07005933838838,82.5250564408346,40.343,81.7,2.4
CAN,2024,0.855449383,0.808871678,11.076130350504888,82.7002565766633,,82.72225,2.4
CAN,2025,,,10.768841168101744,82.527,42.4,84.30000000000001,2.5
CHE,2015,0.910767875,0.923123657,11.086211884559027,73.7,42.1,83.4,1.143003176741156
CHE,2016,0.919981422,0.940670585,11.11766934546997,76.6726675773771,41.317,83.65,0.9
CHE,2017,0.920825467,0.944661871,11.130104613403237,77.9126273688843,41.384,83.6,0.8
CHE,2018,0.924115084,0.942843777,11.166042688728584,79.2922201625844,41.48,83.80000000000001,0.9
CHE,2019,0.913100572,0.944299892,11.20819536833518,80.7792907322229,41.582,83.94999999999999,0.9
CHE,2020,0.894428946,0.941447698,11.19818491078662,73.9,42.6,84.35,0.9
CHE,2021,0.917851193,0.904825802,11.302221854744948,84.2006477608879,41.742,83.8,0.9
CHE,2022,0.907446251,0.902596865,11.455523631971396,84.9206266284521,41.961,83.65,0.9
CHE,2023,0.910245042,0.903062623,11.463121546115923,85.1854212679815,42.331,84.1,0.9
CHE,2024,0.871231822,0.88484008,11.477274398929133,85.4615370020764,,84.0584,0.9
CHE,2025,,,11.175314954420823,79.174,43.9,85.55,1.5
CHL,2015,0.725218957,0.725716717,10.019861265543923,87.4,34.1,80.15,3.132317407654688
