iso3,variable,baseline_mean
ERI,rx1day,21.700202466666667
ERI,rx5day,54.35446506666666
ESP,cdd,44.99314641744548
ESP,rx1day,30.740266533333333
ESP,rx5day,66.1589328
EST,cdd,19.394117647058824
EST,rx1day,23.810136666666665
EST,rx5day,47.797070233333336
ETH,cdd,111.87535460992908
ETH,rx1day,24.847372866666667
ETH,rx5day,74.07307533333332
FIN,cdd,20.22051282051282
FIN,rx1day,21.8299792
FIN,rx5day,44.44218416666667
FJI,cdd,16.855555555555558
FJI,rx1day,54.1118421
FJI,rx5day,126.27459813333333
GAB,cdd,24.891111111111112
GAB,rx1day,31.3081715
GAB,rx5day,95.4197387
GBR,cdd,17.384285714285717
GBR,rx1day,26.288517366666667
GBR,rx5day,56.71869523333333
GEO,cdd,21.66190476190476
GEO,rx1day,28.9590541
GEO,rx5day,67.52803826666667
GHA,cdd,146.6910569105691
GHA,rx1day,28.721959866666666
GHA,rx5day,71.69155559999999
GIN,cdd,181.69841269841268
GIN,rx1day,42.03744183333333
GIN,rx5day,113.99266066666668
GMB,cdd,282.53333333333336
GMB,rx1day,20.649071123333332
GMB,rx5day,37.854520066666666
GNB,cdd,249.69444444444443
GNB,rx1day,36.8879216
GNB,rx5day,78.25159923333334
GNQ,cdd,35.888888888888886
GNQ,rx1day,30.744692166666667
GNQ,rx5day,101.19514373333332
GRC,cdd,53.22142857142857
GRC,rx1day,34.05498756666667
GRC,rx5day,67.5457041
GTM,cdd,39.9125
GTM,rx1day,38.350519299999995
GTM,rx5day,113.3616717
GUY,cdd,48.78703703703704
GUY,rx1day,35.3512085
GUY,rx5day,103.66004373333334
HND,cdd,38.6859649122807
HND,rx1day,32.834973766666664
HND,rx5day,96.27117486666666
HRV,cdd,23.76153846153846
HRV,rx1day,35.082495566666665
HRV,rx5day,69.47085723333333
HTI,cdd,40.77777777777778
HTI,rx1day,25.712330166666668
HTI,rx5day,83.76729603333334
HUN,cdd,25.578260869565216
HUN,rx1day,26.446680166666667
HUN,rx5day,52.352710200000004
IDN,cdd,22.53892617449664
IDN,rx1day,38.219499000000006
IDN,rx5day,114.95306313333334
IND,cdd,105.88321364567332
IND,rx1day,44.735569133333335
IND,rx5day,117.53963593333333
IRL,cdd,14.825
IRL,rx1day,27.653407166666668
IRL,rx5day,58.797049
IRN,cdd,143.27866228665735
