iso3,year,cdd,rx1day,rx5day,warm_days,warm_nights,wsdi,conflict_probability,hazard,conflict_probability_lag1
MDG,2021,24.888448844884493,-17.01131126666666,-42.46622099999999,20.119354,19.25946,23.23762376237624,0.1331375,3.8,0.1127
MDG,2022,1.7300330033003348,14.03765773333334,41.192229,18.429405,27.264343,17.564356435643564,0.154175,3.9,0.1331375
MDG,2023,31.779537953795383,-1.2838642666666544,7.160309000000012,28.970568,34.699577,46.42574257425743,0.1777375,3.9,0.154175
MDG,2024,12.056765676567665,6.134763733333337,7.274549000000007,23.343073,33.271114,28.544554455445542,0.1985249999999999,4.0,0.1777375
MDG,2025,6.878547854785488,-13.186410266666655,-21.74998099999999,24.62227,41.719788,38.0990099009901,0.2146375,3.8,0.1985249999999999
MEX,2018,-1.3996244131455526,2.93723936666666,0.2266017333333394,23.144125,25.185415,35.50704225352113,0.06515,8.2,0.037175
MEX,2019,25.7806572769953,-0.2602256333333415,-5.128048266666667,36.96469,34.642483,73.24788732394366,0.0800874999999999,8.2,0.06515
MEX,2020,20.518685446009385,2.5290893666666605,1.1538917333333387,30.733473,28.72316,58.797183098591546,0.1072,8.1,0.0800874999999999
MEX,2021,4.591924882629101,3.383123366666659,8.000171733333332,19.151844,23.631102,25.49014084507042,0.122875,8.1,0.1072
MEX,2022,6.417276995305159,4.785161366666664,7.134506733333339,16.700752,20.718502,16.64788732394366,0.1399125,6.9,0.122875
MEX,2023,4.2961502347417735,-0.3608606333333384,-0.4816382666666641,22.075247,25.517267,32.67887323943662,0.1576374999999999,6.9,0.1399125
MEX,2024,-6.4784976525821705,1.983133366666664,8.978371733333333,18.925575,27.256214,20.698591549295774,0.169225,6.8,0.1576374999999999
MEX,2025,-5.47004694835681,-0.3987066333333402,-3.7653582666666665,24.827318,29.484083,45.86197183098592,0.1846,8.0,0.169225
MKD,2018,-8.013333333333332,4.630689199999999,7.810108,24.931507,27.890411,50.4,0.016625,2.8,0.0104125
MKD,2019,17.186666666666667,0.5529061999999989,-3.295738999999997,28.383564,31.452053,48.6,0.0189125,3.6,0.016625
MKD,2020,25.38666666666667,4.5120222000000005,1.4900889999999976,26.393442,28.306011,55.2,0.0224,2.8,0.0189125
MKD,2021,-2.6133333333333333,6.391168199999999,10.380397000000002,16.931507,19.945206,27.6,0.02315,2.3,0.0224
MKD,2022,0.3866666666666667,0.6552602000000007,-9.865265999999998,19.397259,22.191782,22.0,0.0216374999999999,2.1,0.02315
MKD,2023,11.786666666666669,1.663852200000001,7.789076999999999,30.739725,32.547947,70.0,0.0230874999999999,2.1,0.0216374999999999
MKD,2024,-7.613333333333333,-2.693561800000001,-11.140425999999998,34.590164,36.502735,75.2,0.02355,1.7,0.0230874999999999
MKD,2025,-10.813333333333333,0.9137722000000004,19.161614,16.109589,18.90411,22.0,0.02415,2.0,0.02355
MLI,2018,72.94360901487096,3.161062773333331,4.551239333333331,20.399544,27.938864,26.62037037037037,0.88325,5.3,0.9259625
MLI,2019,-33.04404291481774,2.8697257733333323,5.712595333333333,33.68214,33.229324,73.125,0.8483750000000001,6.1,0.88325
MLI,2020,-95.26134512882136,6.068085773333333,8.398447333333333,20.260323,11.402044,36.84722222222222,0.8157125000000001,6.3,0.8483750000000001
MLI,2021,-93.62897096703551,1.269695773333332,2.664633333333331,21.75038,21.010908,35.583333333333336,0.7857375000000001,5.9,0.8157125000000001
MLI,2022,-50.17370401176851,4.211725773333331,9.860710333333332,29.001778,26.501778,54.44907407407408,0.7674625,7.3,0.7857375000000001
MLI,2023,-66.97394945687381,13.01053577333333,19.91458333333333,18.34475,23.710047,29.77314814814815,0.747375,7.3,0.7674625
MLI,2024,-107.96710311912112,16.672314773333333,23.433809333333333,28.195204,35.86192,59.68981481481482,0.7357375,7.2,0.747375
MLI,2025,-171.3717542819118,5.320269773333333,6.547291333333334,33.920597,37.394722,72.08796296296296,0.7286499999999999,7.9,0.7357375
MMR,2018,26.92057971014493,6.50997026666667,21.149719000000005,8.607505,17.488981,7.095652173913043,0.8579375,7.5,0.91285
MMR,2019,28.407536231884063,3.19953326666667,13.720799,29.855865,48.690887,57.095652173913045,0.81355,8.6,0.8579375
MMR,2020,11.824927536231897,-1.4903197333333296,-11.878430999999978,16.28653,24.920408,28.469565217391303,0.7672625,7.4,0.81355
MMR,2021,19.28579710144929,-4.437929733333327,-7.572980999999999,9.405599,21.531864,7.339130434782609,0.731775,7.4,0.7672625
MMR,2022,-21.5750724637681,14.648330266666669,31.510739,18.770697,26.830256,40.71304347826087,0.707375,7.4,0.731775
MMR,2023,4.329275362318853,4.312940266666672,29.479719000000017,19.571173,28.669447,30.62608695652174,0.6720625,9.2,0.707375
MMR,2024,-9.74898550724636,14.989340266666666,40.30042900000001,14.813495,27.441198,16.043478260869566,0.6414875000000001,9.0,0.6720625
MMR,2025,11.772753623188436,-2.1165757333333275,-4.754180999999988,22.44193,36.414536,39.07826086956522,0.6234125,8.4,0.6414875000000001
MNE,2018,-4.844444444444445,12.202213900000004,36.2023446,23.92694,24.840181,44.0,0.0075875,2.5,0.00645
MNE,2019,-2.1777777777777736,-10.015143099999996,-14.4488894,27.671234,30.41096,48.333333333333336,0.0072875,2.4,0.0075875
MNE,2020,27.488888888888884,8.983741900000005,23.995964600000008,27.322403,26.229507,65.0,0.009025,2.4,0.0072875
MNE,2021,-1.1777777777777736,-3.8434101,-6.031765399999998,15.707763,13.515983,24.0,0.0098125,2.5,0.009025
MNE,2022,3.155555555555555,12.457278900000006,2.1416546000000096,19.817352,18.356165,28.666666666666668,0.0090375,2.5,0.0098125
MNE,2023,9.155555555555562,0.7611119000000031,-6.281561399999987,25.20548,26.484018,53.333333333333336,0.0081875,2.4,0.0090375
MNE,2024,-5.177777777777774,-1.7718010999999976,27.972644599999995,29.690346,27.504553,59.66666666666666,0.00995,1.7,0.0081875
MNE,2025,-6.177777777777774,7.1872939,27.644274600000017,18.264841,20.456621,16.333333333333332,0.011675,2.2,0.00995
MNG,2018,0.5193619734359487,6.400350800000002,13.6210607,19.071663,20.463413,11.016528925619834,0.0087875,2.7,0.007325
MNG,2019,-4.521960340613646,-1.8376291999999983,-4.453228299999999,19.06638,20.39624,14.606060606060606,0.01445,2.0,0.0087875
MNG,2020,-4.103227558244498,0.9183407999999992,-2.722708299999997,24.651884,22.10631,23.06611570247934,0.01575,1.5,0.01445
MNG,2021,0.2989762985048116,0.7168677999999993,1.4650476999999995,20.536623,21.304201,25.239669421487605,0.0171,1.6,0.01575
MNG,2022,-9.179510224180603,-3.1847072,-4.439965299999997,18.273897,20.360014,9.43526170798898,0.02,1.6,0.0171
MNG,2023,33.268673268201795,4.2098388,3.703396699999999,21.871769,25.24699,16.738292011019283,0.0214374999999999,1.6,0.02
MNG,2024,-6.017828109208679,4.100492800000001,2.198048700000001,30.742596,33.29043,31.21487603305785,0.019825,1.7,0.0214374999999999
MNG,2025,25.07859062357369,-1.2360192000000012,-3.7793452999999992,26.37609,27.56708,40.72176308539945,0.0204999999999999,2.0,0.019825
MOZ,2018,-9.94904761904762,2.01986303333333,12.852844299999989,8.966731,17.475538,6.035714285714286,0.90375,5.2,0.9318
MOZ,2019,8.0652380952381,5.019775033333332,9.868024300000002,20.698631,39.232876,23.057142857142857,0.8736624999999999,5.1,0.90375
MOZ,2020,6.336666666666673,-0.0493469666666683,-3.4297157000000027,17.903982,18.969555,17.37142857142857,0.844775,5.3,0.8736624999999999
MOZ,2021,7.972380952380959,0.8278400333333309,9.325494300000004,11.978474,19.285715,9.942857142857145,0.8235250000000001,6.4,0.844775
MOZ,2022,5.6295238095238105,-4.362619966666671,-6.709850700000004,12.023483,23.054794,7.385714285714286,0.79795,7.8,0.8235250000000001
MOZ,2023,8.436666666666667,4.561363033333329,9.752074300000004,22.311153,28.49315,27.75,0.7816500000000001,7.8,0.79795
MOZ,2024,-0.8561904761904771,-0.0749469666666655,10.919124299999991,16.272444,32.72248,13.25,0.7611249999999999,6.1,0.7816500000000001
MOZ,2025,7.222380952380959,-2.3520699666666687,-1.7740157000000067,23.074364,32.694717,23.6,0.7420375,7.1,0.7611249999999999
MRT,2018,57.78484960152304,1.4020040100000006,1.48213859,19.72156,25.052113,17.902173913043477,0.0638125,4.6,0.0476125
MRT,2019,-177.40181052228797,-0.4656365899999994,-0.7469461099999997,38.646515,32.69059,85.28260869565217,0.0752875,5.3,0.0638125
MRT,2020,-111.6883613588388,0.0149448100000002,-0.77031121,22.671656,14.773401,38.02173913043478,0.0838,4.6,0.0752875
MRT,2021,40.140517289394666,1.9778058100000004,2.24310159,19.377605,18.357653,22.88043478260869,0.0971124999999999,4.2,0.0838
MRT,2022,-53.15369788451051,3.4108104100000007,4.53721259,26.201607,24.59202,45.58695652173913,0.1011125,3.6,0.0971124999999999
MRT,2023,-132.92724519262708,5.248600410000001,5.59707159,16.59321,21.296904,27.88586956521739,0.1079625,3.2,0.1011125
MRT,2024,-90.86905494061938,12.88303841,21.19116859,24.021442,28.583096,37.80434782608695,0.1131,2.3,0.1079625
MRT,2025,-193.90960678008423,-0.9025580899999994,-1.20980941,33.807323,27.730793,76.15760869565217,0.116725,3.6,0.1131
MWI,2018,-7.492982456140346,-0.3948963333333353,-3.4812135000000097,15.126171,29.343908,18.789473684210527,0.0374624999999999,2.4,0.0263375
MWI,2019,40.34912280701755,6.95685366666666,6.5816964999999925,26.229273,49.17087,25.36842105263158,0.0531125,2.6,0.0374624999999999
MWI,2020,18.612280701754383,0.5246736666666649,3.216336499999997,17.213114,19.887835,16.210526315789473,0.0646875,2.9,0.0531125
MWI,2021,2.664912280701756,1.8538806666666616,6.709476499999994,11.276135,21.845709,13.473684210526317,0.079275,2.9,0.0646875
MWI,2022,-8.492982456140346,-0.6946263333333391,6.252216499999989,14.246575,28.031723,13.789473684210526,0.0936875,2.9,0.079275
MWI,2023,19.612280701754383,2.033963666666665,0.791586499999994,24.152847,31.751982,33.36842105263158,0.09795,2.7,0.0936875
MWI,2024,-3.3877192982456137,3.37573166666666,9.610186499999998,21.484037,38.884094,27.789473684210527,0.1081874999999999,2.2,0.09795
MWI,2025,3.0333333333333314,-2.0189763333333346,2.402572499999991,28.478731,41.629417,45.47368421052632,0.119575,3.0,0.1081874999999999
MYS,2018,12.603636363636364,2.200539466666676,10.323038833333328,41.10087,44.199253,82.74545454545455,0.0688875,3.6,0.0481625
MYS,2019,8.985454545454543,-0.464407533333329,-5.830291166666655,56.30884,76.1594,129.83636363636364,0.0873375,3.4,0.0688875
